TISSUE protein_coding antisense lincRNA transcribed_unprocessed_pseudogene processed_pseudogene unprocessed_pseudogene processed_transcript TEC sense_intronic transcribed_processed_pseudogene snoRNA IG_V_gene transcribed_unitary_pseudogene unitary_pseudogene sense_overlapping IG_V_pseudogene TR_V_gene 3prime_overlapping_ncRNA polymorphic_pseudogene IG_C_pseudogene IG_C_gene misc_RNA transcription_factors
aa	127	15	15	9	1	0	5	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0
ac	32	5	3	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ag	12	2	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
as	41	4	6	2	1	5	1	5	1	2	3	0	0	0	0	0	0	0	0	0	0	0	4
at	28	5	4	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1
av	50	4	8	7	4	0	2	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0
bam	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ban	3	1	3	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
bceh	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bco	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bnu	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bpu	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
br	41	3	6	3	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
cols	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
colt	117	13	14	7	3	4	7	4	1	1	1	0	0	2	0	0	3	0	1	1	1	0	10
ebv	8	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
esog	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esom	8	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
esomu	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fib	54	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
haa	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hlv	20	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lu	59	11	12	2	3	1	2	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	5
ms	282	30	19	9	5	5	4	6	2	1	0	0	2	1	1	0	0	0	0	0	0	0	9
nt	55	6	5	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
ov	2	1	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
pan	29	0	1	4	0	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
pro	23	6	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
si	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
snse	118	8	11	8	5	11	2	2	2	3	2	0	1	0	0	0	0	0	0	0	0	0	9
spl	117	6	16	6	5	3	2	2	3	3	0	1	1	1	0	2	0	0	0	1	1	0	6
sse	103	11	9	8	3	2	2	5	4	0	2	0	0	0	1	0	0	1	0	0	0	0	3
sto	14	2	2	0	1	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
tes	140	29	34	14	15	9	6	2	1	3	1	0	0	1	0	0	0	0	0	0	0	0	7
thy	91	11	10	9	6	4	3	2	5	1	0	0	2	1	0	0	0	1	0	0	0	0	2
ut	15	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wb	883	70	76	43	20	20	15	14	7	7	0	18	6	1	4	3	2	1	1	0	0	1	63
all	1732	175	189	76	62	61	30	33	20	23	4	19	12	5	6	4	5	2	2	1	2	1	111
