TISSUE protein_coding antisense lincRNA transcribed_unprocessed_pseudogene processed_pseudogene processed_transcript unprocessed_pseudogene TEC transcribed_processed_pseudogene transcribed_unitary_pseudogene sense_intronic IG_V_gene misc_RNA unitary_pseudogene IG_V_pseudogene IG_C_pseudogene IG_C_gene sense_overlapping polymorphic_pseudogene TR_V_gene 3prime_overlapping_ncRNA transcription_factors
ag	169	22	24	11	1	8	4	3	3	1	2	0	0	0	0	0	0	1	1	0	0	12
haa	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
liv	51	8	11	5	2	1	0	0	2	1	1	1	0	0	0	1	2	1	0	0	0	1
msg	9	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pan	32	1	1	4	0	1	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
pit	19	4	5	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
si	76	11	13	6	2	4	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3
spl	132	8	19	6	6	3	3	3	3	1	3	4	0	1	3	1	1	0	0	0	0	6
va	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wb	1005	86	86	48	23	15	23	16	7	7	9	22	1	1	4	0	0	4	1	2	1	72
all	1282	113	125	63	33	20	35	17	14	8	13	23	1	4	4	1	3	6	2	2	1	88
