TISSUE protein_coding antisense lincRNA transcribed_unprocessed_pseudogene unprocessed_pseudogene snoRNA processed_pseudogene TEC processed_transcript transcribed_processed_pseudogene sense_intronic 3prime_overlapping_ncRNA IG_C_gene unitary_pseudogene IG_C_pseudogene transcribed_unitary_pseudogene sense_overlapping TR_V_gene IG_V_gene polymorphic_pseudogene IG_V_pseudogene transcription_factors
aa	150	19	16	11	1	1	6	3	5	1	2	0	0	0	1	0	1	0	2	0	0	1
ac	40	7	4	4	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ag	14	2	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
as	47	4	6	3	5	3	1	5	1	2	1	0	0	0	0	0	0	0	0	0	0	5
at	32	5	4	2	0	2	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1
av	55	5	8	8	0	1	5	1	2	0	2	0	0	0	0	2	0	0	0	0	0	0
bam	5	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ban	4	1	3	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
bceh	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bco	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bnu	4	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
bpu	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
br	47	4	6	3	1	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	2
cols	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
colt	138	19	16	8	4	2	3	4	7	1	1	0	1	2	1	0	0	3	0	1	0	11
ebv	10	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
esog	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esom	10	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esomu	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fib	60	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
hlv	23	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lu	70	13	14	4	1	1	4	4	2	0	3	1	0	0	0	0	0	0	0	0	0	6
ms	338	34	26	10	7	0	9	6	4	1	3	0	2	1	1	2	2	0	0	0	0	11
nt	69	7	6	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
ov	2	1	2	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
pro	32	7	4	2	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
si	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
snse	135	9	17	8	12	3	5	3	2	3	3	0	0	0	0	1	0	0	0	0	0	10
sse	115	15	12	9	2	2	3	5	2	0	4	1	0	0	0	0	2	0	0	0	0	3
sto	16	2	5	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0
tes	173	31	40	16	11	2	16	3	6	3	1	0	0	1	0	0	0	0	0	0	0	10
thy	94	14	11	9	4	0	6	2	3	2	5	1	0	1	0	2	0	0	0	0	0	2
ut	17	4	3	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
all	1131	144	148	47	45	4	51	23	23	17	18	1	2	4	1	5	5	3	2	1	1	63
