TISSUE protein_coding antisense lincRNA transcribed_unprocessed_pseudogene snoRNA unprocessed_pseudogene processed_pseudogene TEC processed_transcript transcribed_processed_pseudogene sense_intronic 3prime_overlapping_ncRNA IG_C_gene IG_C_pseudogene unitary_pseudogene sense_overlapping IG_V_gene transcribed_unitary_pseudogene polymorphic_pseudogene transcription_factors
aa	110	14	13	11	1	1	5	3	4	1	2	0	0	0	0	1	1	0	0	1
ac	29	4	2	4	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
ag	12	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
as	31	2	4	3	3	1	0	4	1	1	1	0	0	0	0	0	0	0	0	1
at	24	4	3	2	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1
av	24	3	5	3	1	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0
bam	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ban	4	1	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
bce	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bnu	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
br	27	2	5	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1
cols	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
colt	101	14	13	6	2	4	4	3	7	1	0	0	1	1	2	0	0	0	1	7
ebv	5	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
esog	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
esom	9	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esomu	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
fib	45	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
hlv	15	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lu	60	11	11	4	1	0	1	1	3	0	2	0	0	0	0	0	0	0	0	4
ms	245	26	21	7	0	4	3	4	3	1	2	0	1	1	1	1	0	1	0	9
nt	61	5	4	1	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	3
ov	2	1	2	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
pro	30	4	2	2	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	1
si	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
snse	113	9	12	7	3	9	6	3	1	2	2	0	0	0	0	0	0	1	0	6
sse	82	12	6	7	2	2	2	4	2	0	4	1	0	0	0	0	0	0	0	2
sto	12	2	4	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1
tes	134	23	25	11	2	8	10	2	6	1	1	0	0	0	0	0	0	0	0	5
thy	66	11	7	1	0	2	6	2	3	1	4	0	0	0	0	0	0	0	0	2
ut	9	3	3	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1
all	834	109	108	31	4	33	38	15	21	13	12	1	1	1	3	3	1	2	1	43
