TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	1299	0.1285604311008468	1.1979598178450603	0.015984015984015984
ac	1549	0.1265332472562944	1.1790699870599295	0.023976023976023976
ag	5942	0.12436889936048469	1.1589020256676434	0.03796203796203796
as	587	0.12776831345826234	1.1905786578824122	0.02097902097902098
at	391	0.1432225063938619	1.3345848812245749	0.000999000999000999
av	3534	0.11262026032823995	1.04942512554777	0.3016983016983017
bam	1193	0.12405699916177704	1.1559956578060069	0.03796203796203796
ban	959	0.08967674661105318	0.8356314467461932	0.977022977022977
bca	19	0.10526315789473684	0.9808697153361067	0.5764235764235764
bce	41	0.0975609756097561	0.909098760555416	0.8391608391608392
bceh	129	0.10852713178294573	1.0112842801527302	0.45854145854145856
bco	64	0.125	1.1647827869616267	0.03796203796203796
bfr	32	0.1875	1.74717418044244	0.000999000999000999
bhi	51	0.21568627450980393	2.0098212794631993	0.000999000999000999
bhy	268	0.10074626865671642	0.9387801566556394	0.7592407592407593
bnu	379	0.13192612137203166	1.2293222025980228	0.004995004995004995
bpu	22	0.13636363636363635	1.2706721312308653	0.000999000999000999
br	510	0.13137254901960785	1.224163870218494	0.004995004995004995
bsp	63	0.14285714285714285	1.3311803279561447	0.000999000999000999
bsu	51	0.09803921568627451	0.9135551270287269	0.8201798201798202
cols	113	0.11504424778761062	1.0720124764956565	0.1968031968031968
colt	5687	0.12959381044487428	1.2075891176236595	0.013986013986013986
ebv	306	0.10130718954248366	0.944006964596351	0.7252747252747253
esog	18	0.0	0	1.0
esom	8	0.0	0	1.0
esomu	20	0.05	0.4659131147846507	1.0
fib	210	0.12380952380952381	1.1536896175619922	0.04795204795204795
haa	151	0.17218543046357615	1.604469004556413	0.000999000999000999
hlv	247	0.13360323886639677	1.2449500233112125	0.001998001998001998
kc	14	0.07142857142857142	0.6655901639780724	1.0
liv	2006	0.11864406779661017	1.1055565435567982	0.12187812187812187
lu	477	0.12368972746331237	1.1525733237859284	0.04795204795204795
ms	2232	0.1232078853046595	1.148083392166478	0.04795204795204795
msg	427	0.12412177985948478	1.1565993013389455	0.03796203796203796
nt	721	0.1276005547850208	1.18901543856277	0.02097902097902098
ov	124	0.12096774193548387	1.127209148672542	0.08391608391608392
pan	215	0.11162790697674418	1.0401781167285225	0.33466533466533466
pit	479	0.09603340292275574	0.89486443758221	0.8641358641358642
pro	4027	0.11298733548547306	1.0528456281451009	0.3016983016983017
si	6611	0.1264559068219634	1.1783493086067705	0.023976023976023976
snse	725	0.12	1.1181914754831617	0.1008991008991009
spl	4069	0.10739739493733104	1.0007570959001835	0.4885114885114885
sse	399	0.11779448621553884	1.097639919542786	0.14985014985014986
sto	252	0.12301587301587301	1.146294171295569	0.04795204795204795
tes	1300	0.13076923076923078	1.2185419925137018	0.00999000999000999
thy	999	0.13113113113113112	1.2219142750107954	0.004995004995004995
ut	1696	0.14504716981132076	1.3515875735498122	0.000999000999000999
va	94	0.23404255319148937	2.180869898991982	0.000999000999000999
wb	5890	0.13446519524617997	1.2529819589454783	0.000999000999000999
