TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	5777	0.12670936472217414	1.1807110958018499	0.023976023976023976
ac	7600	0.13381578947368422	1.2469306256210257	0.001998001998001998
ag	32131	0.11004948492110422	1.0254699660007622	0.37162837162837165
as	2021	0.08955962394854032	0.8345400670561284	0.977022977022977
at	1463	0.15857826384142173	1.477673856869979	0.000999000999000999
av	16356	0.09488872584984104	0.8841980363729247	0.9010989010989011
bam	4899	0.12063686466625842	1.1241259474902165	0.08391608391608392
ban	3907	0.09316611210647556	0.8681462696780796	0.922077922077922
bca	29	0.10344827586206896	0.963958168519967	0.6473526473526473
bce	99	0.09090909090909091	0.8471147541539104	0.968031968031968
bceh	271	0.13653136531365315	1.2722350735817032	0.000999000999000999
bco	115	0.11304347826086956	1.0533687812522536	0.2627372627372627
bfr	63	0.1111111111111111	1.0353624772992236	0.33466533466533466
bhi	171	0.1695906432748538	1.5802900969303941	0.000999000999000999
bhy	967	0.0734229576008273	0.6841743774500558	1.0
bnu	1461	0.1464750171115674	1.3648926292117076	0.000999000999000999
bpu	57	0.2631578947368421	2.4521742883402666	0.000999000999000999
br	1792	0.1484375	1.3831795595169318	0.000999000999000999
bsp	188	0.2553191489361702	2.3791307989003436	0.000999000999000999
bsu	279	0.035842293906810034	0.3339878959029754	1.0
cols	463	0.05183585313174946	0.4830200758026616	1.0
colt	30588	0.11932784098339218	1.111928121461995	0.1008991008991009
ebv	1259	0.08657664813343924	0.8067439159893078	0.991008991008991
esog	72	0.0	0	1.0
esom	342	0.0	0	1.0
esomu	68	0.014705882352941176	0.13703326905430901	1.0
fib	768	0.0703125	0.6551903176659151	1.0
haa	655	0.13282442748091602	1.2376928545424308	0.003996003996003996
hlv	953	0.09758656873032528	0.9093372439658449	0.8391608391608392
kc	39	0.02564102564102564	0.23892980245366702	1.0
liv	9553	0.12163718203705642	1.1334471671302504	0.06693306693306693
lu	1979	0.1328954017180394	1.238354211100183	0.003996003996003996
ms	11227	0.12069119087913066	1.1246321733912918	0.08391608391608392
msg	1763	0.10096426545660805	0.9408115080166514	0.7592407592407593
nt	2459	0.1024806832045547	0.9549418863418623	0.6883116883116883
ov	516	0.10271317829457365	0.9571083365731197	0.6883116883116883
pan	784	0.08290816326530612	0.7725600117602626	0.997002997002997
pit	2089	0.06318812829104835	0.5888035533898889	1.0
pro	20796	0.10771302173494902	1.0036981891879375	0.4885114885114885
si	35668	0.11545362790176068	1.0758271877779475	0.1968031968031968
snse	3010	0.12691029900332226	1.1825834541377844	0.023976023976023976
spl	19876	0.11128999798752263	1.0370293921348834	0.33466533466533466
sse	1545	0.13527508090614887	1.260528685954589	0.000999000999000999
sto	902	0.1319290465631929	1.2293494602965285	0.004995004995004995
tes	5523	0.10936085460800289	1.019053128118519	0.4125874125874126
thy	4108	0.13485881207400194	1.256649783791122	0.000999000999000999
ut	8671	0.136431784107946	1.2713071497872026	0.000999000999000999
va	326	0.3588957055214724	3.344284320846879	0.000999000999000999
wb	31546	0.11386546630317632	1.0610282814343912	0.2627372627372627
