TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	366	0.11475409836065574	1.0693087880303458	0.22277722277722278
ac	428	0.1261682242990654	1.1756686074005203	0.023976023976023976
ag	11	0.0	0	1.0
as	85	0.11764705882352941	1.0962661524344721	0.14985014985014986
at	46	0.2391304347826087	2.2282801141874597	0.000999000999000999
av	70	0.12857142857142856	1.1980622951605302	0.015984015984015984
bam	223	0.13452914798206278	1.2535778873129615	0.000999000999000999
ban	180	0.13333333333333333	1.2424349727590684	0.001998001998001998
bce	1	0.0	0	1.0
bceh	6	0.0	0	1.0
bfr	1	0.0	0	1.0
bhi	3	0.3333333333333333	3.106087431897671	0.000999000999000999
bhy	8	0.0	0	1.0
bnu	56	0.17857142857142858	1.6639754099451811	0.000999000999000999
br	84	0.16666666666666666	1.5530437159488355	0.000999000999000999
bsp	1	0.0	0	1.0
cols	13	0.07692307692307693	0.716789407361001	1.0
colt	247	0.12550607287449392	1.1694985067468964	0.029970029970029972
ebv	43	0.09302325581395349	0.8668150972737687	0.922077922077922
esom	2	0.0	0	1.0
fib	29	0.10344827586206896	0.963958168519967	0.6473526473526473
hlv	32	0.03125	0.2911956967404067	1.0
liv	1	0.0	0	1.0
lu	96	0.08333333333333333	0.7765218579744178	0.996003996003996
ms	664	0.13253012048192772	1.2349504247303995	0.003996003996003996
nt	159	0.12578616352201258	1.1721084648670457	0.029970029970029972
ov	6	0.16666666666666666	1.5530437159488355	0.000999000999000999
pro	224	0.12946428571428573	1.2063821722102563	0.013986013986013986
si	5	0.2	1.8636524591386028	0.000999000999000999
snse	159	0.12578616352201258	1.1721084648670457	0.029970029970029972
sse	74	0.16216216216216217	1.511069561463732	0.000999000999000999
sto	31	0.12903225806451613	1.2023564252507115	0.013986013986013986
tes	314	0.12738853503184713	1.1870397828908297	0.02097902097902098
thy	226	0.168141592920354	1.566787465647498	0.000999000999000999
ut	496	0.12701612903225806	1.1835696061061691	0.02097902097902098
