	as	ag	aa	ac	bca	bceh	bco	bhi	fib	colt	hlv	ms	sse	wb
AGE	0.027371575697397846		0.024595786360042123		0.017641102078416543	0.014506495350697913	0.031525084128442966	0.04654482351877749		0.06407417751220623	0.01840904151590686	0.011962287864603752	0.010446510222830295	0.03689310923519028
AGE2	0.026378994163471146	0.012013428985898893	0.02622169922920305	0.010309824408564927	0.016535561844737524	0.014356228594779093	0.03360379282145899	0.04835526087344838		0.0727319821522614	0.018696594150327484	0.012388551489022083	0.010576382871941296	0.03671332111515121
AGE3	0.024739347027420727	0.013726449723294612	0.026987076743418846	0.011091117498605182	0.015578021970621414	0.014051137667341267	0.035010120549680286	0.049319721347130745		0.08000659685034646	0.018538121018253084	0.012339026333618216	0.010396899236824728	0.03520097299142034
COHORT_0	0.08722701436678407	0.16365540464327724	0.13638490366282185	0.07509353900685786						0.147065033244866	0.19865858173800818	0.06899382956031934	0.01963806822651825	0.1748290431321074
COHORT_1	0.08647260929820917	0.16365540464327724	0.13638490366282185	0.07509353900685786						0.147065033244866	0.19865858173800818	0.07311631291975501	0.01715971590425135	0.17180991249947689
COHORT_2	0.04026196646554089								0.02801484387426784			0.017405767017223794	0.01664935999278041	0.010056241749537032
DTHATPSY	0.026351394043077465	0.04583980289248824	0.044739657283400985	0.04135563092370158						0.037867486256381554	0.049271456798873785	0.017253040206864866		0.04461004489188373
DTHHRDY	0.06436891173081827	0.14800167127692704	0.08661658465146878	0.050782089286677774	0.03865828526102859	0.016593788562669767	0.03362515056759217	0.010738952958569806		0.16185832414306578	0.14781386338091831	0.039515790304989654	0.01130417244527025	0.09401107502368955
DTHPLCE_0	0.06805865433488312	0.10964220565217513	0.10200856095746177	0.06166346959386168	0.015154181484941279	0.015082331850050017	0.026828843071245854			0.0913324048454573	0.1381874476892004	0.10325064865273423	0.022629687453788804	0.11444383950397406
DTHPLCE_1					0.016150675251481342	0.01068938227218092	0.012104159596238099	0.01189135717281405						0.020362923028237667
DTHPLCE_10					0.01395670559742998									
DTHPLCE_13											0.011457219347472895			
DTHPLCE_2	0.05559242564758606	0.100108987426414	0.07800796104638891	0.05712735792638108	0.010052987751287214	0.014794788743453025	0.021175655876289456			0.06962069642507968	0.09965416908665928	0.08300749241536881	0.019201117796247853	0.07140101394710564
DTHPLCE_3			0.014220730183700037			0.010251678503713715		0.012368713203376278			0.01658760268875981			0.02846321490714301
DTHPLCE_5					0.015055833644023596			0.01299346168887107		0.01907558942740969				
DTHRFG	0.0464177936166245	0.10564914482366647	0.08560327137382717	0.04908515427752606						0.11735375190196694	0.11027836365936042	0.04201665211977937		0.11126534651527903
DTHVNTD		0.010704745355882082		0.01665846565075656								0.07136161850676918		
ETHNCTY	0.0352036301427847	0.09600899644850237	0.06101012940829142	0.046010797129009004					0.013589575788676674	0.0850447885742822	0.06816762126260202	0.01856823278447084		0.059135278303331436
LBCMVTAB	0.09540109790295996	0.19802793719972137	0.14176310706217815	0.0878735943438643			0.014502428785358415			0.20289165596442307	0.22042484816020355	0.08021855640459924	0.021101603771186198	0.1529451698452394
LBEBVGAB	0.08470119510225042	0.16108464466094943	0.11905414698379993	0.08210971693505517						0.1589535856248216	0.19665778269385203	0.07518344495735367	0.019010736434922987	0.14002007645042794
LBEBVMAB	0.0867295432545557	0.1820920112164132	0.12446262595715141	0.08331379652476568						0.15761145823396677	0.20095632723465937	0.0761958308825672	0.019285486261144645	0.14259558067534067
LBHBCABM	0.020259580731404568	0.04309340960826792	0.03956950601277008	0.02167567851973952						0.036728763373025226	0.03377712898179835	0.016331262912020375		0.05784556906149053
LBPRRVDRL	0.028029480603400495	0.06456822722175994	0.05267311067667982	0.02483324958241408			0.012228595501177003			0.0574640577904096	0.046740909171444404	0.017761279523924575		0.0700690518384118
MHABNWBC								0.011293903486040988						
MHSRC_0	0.013979883530116761	0.024548069973539807	0.03308938758072691	0.01136004486097564						0.03412193379290824	0.016393675025516943	0.013352025685009436		0.04502452499445484
MHSRC_1	0.013979883530116761	0.024548069973539807	0.03308938758072691	0.01136004486097564						0.03412193379290824	0.016393675025516943	0.013352025685009436		0.045024524994454834
PC1	0.291261457797259	0.12073021173658915	0.13231891943159624	0.12263113403707966	0.1922108283167936	0.2179088276092292	0.235278711592756	0.11401986631077499	0.24515238908001416	0.053981562423055664	0.14751031219795271	0.1028088866528879	0.16474275856272125	0.016451224977503516
PC2								0.018030575721409335						
PC3										0.012574758007358756				
RACE					0.15915434653012087	0.1888662695623099	0.2054833053324942	0.11407931267663451						
SEX				0.010515315563112559										
SMALTALG		0.017834253170566944			0.05446367914613507	0.029114206598979325	0.031062935606279728			0.028537575214363033	0.024125533485556974			0.05353564438323481
SMATSSCR		0.1029839862175685	0.012180766528492457							0.19996236955048696	0.011907485734419207			
SMCENTER_0	0.024850982815486606	0.05573272727341946	0.0502636784340746	0.023147372093901362						0.048136489673906775	0.05421795989235207	0.019751651733208895		0.06792762459205218
SMCENTER_2	0.024052489179159118	0.055732727273419456	0.048014406050315414	0.02267340904884105						0.04719968216322513	0.04540579222721859	0.018071680270572547		0.06612740465574299
SMCENTER_5							0.010108824525171667				0.013926481607464831	0.011141958238068976		
SMCENTER_6					0.01261252742378495			0.012904154765207843						
SME1ANTI							0.012856421552950761		0.06317763270509488		0.0148743802984884			0.011409698327990358
SME1MMRT			0.021234489751369694	0.018282571170274042	0.023661074151632534		0.012686773713560586		0.010520974935112918		0.013252745673272323			
SME1PCTS		0.038954541044169594												0.011591734018594042
SME1SNSE							0.012832403419485282		0.06237239453543571		0.015944617482124352			0.01234241582222841
SME2ANTI							0.013076407388069752		0.06318893177188296		0.01668340898828065			0.011746604746750077
SME2MMRT			0.012556115929372572	0.014392429157379413										
SME2PCTS		0.06484840627577476			0.038246139855234375	0.03356441475426756	0.048706226526818726				0.02313526617144376			
SME2SNSE							0.01153369004681193		0.06323433857446677		0.014173055692635023			0.01132306525567417
SMEXNCRT	0.08820895761982668	0.07756025402772468	0.23676581287255302	0.16003614983784437	0.044293594615771245	0.08014683318465188	0.015255491082252269	0.08154528804332273	0.033367307068696964		0.04459893809378752	0.14195441935038977	0.16949884344446783	0.1081979290319542
SMEXPEFF	0.014969504575286513	0.06964069404718513	0.22690837377838952	0.15763626562393424	0.012309466057044043	0.03876520712686091			0.03398719533558799			0.018523377690270838	0.02171811706806337	0.0412486411654889
SMGEBTCHD_1				0.01658199409362284			0.010837202796137995							
SMGEBTCHD_102							0.01630696920215148				0.01108024094615108			
SMGEBTCHD_113										0.014646081257319483				
SMGEBTCHD_114				0.012429746438910396										
SMGEBTCHD_115							0.025197881209761342							
SMGEBTCHD_117									0.028027426185112787					
SMGEBTCHD_120							0.013948347361704796							
SMGEBTCHD_135										0.010287981037799158				
SMGEBTCHD_140								0.012514263582691051						
SMGEBTCHD_159								0.010800159549917844						
SMGEBTCHD_16				0.011049695869421205										
SMGEBTCHD_160											0.013168753649593596			
SMGEBTCHD_162		0.013734799449083979						0.010390478613421397						
SMGEBTCHD_163							0.011129530985221325							
SMGEBTCHD_172						0.012067404799549175								
SMGEBTCHD_177										0.015885096020771837				
SMGEBTCHD_182						0.01659702081832842	0.015731261795295153	0.014726861449357656	0.014951342474969131					
SMGEBTCHD_186					0.013816442779638557									0.01143914431185769
SMGEBTCHD_188									0.011325766378103638					
SMGEBTCHD_190					0.010526007766962907			0.010196073258996659						
SMGEBTCHD_195					0.014745726494622665	0.011081036263131496								
SMGEBTCHD_2							0.010243389308938405							
SMGEBTCHD_216				0.011369960420239123										
SMGEBTCHD_22							0.014351700553470953	0.023740638335357663						
SMGEBTCHD_223		0.015120960338781471												
SMGEBTCHD_23							0.011203378450636852							
SMGEBTCHD_27				0.01220226429461388			0.027063732857445198							
SMGEBTCHD_28			0.012586083828041428		0.010431331926435146			0.017182733584928774						
SMGEBTCHD_30										0.010177480106411885				
SMGEBTCHD_31						0.01540831472967002								
SMGEBTCHD_33											0.010566879448767344		0.013461014081755932	
SMGEBTCHD_35					0.010908576491796006									
SMGEBTCHD_36					0.010405991133861394									
SMGEBTCHD_38				0.030626598801671383				0.019108481067464524						
SMGEBTCHD_40						0.0189351575323604								
SMGEBTCHD_42							0.022716218975916153							
SMGEBTCHD_43		0.010792324629562006												
SMGEBTCHD_44						0.014955473757263008		0.0175236538432752						
SMGEBTCHD_5		0.010030635650279054												0.011592958448498078
SMGEBTCHD_52	0.03433528043898856		0.01732908771995664	0.0609740813337695									0.03966737400332224	
SMGEBTCHD_53		0.010126992963200862								0.012333300533343824				
SMGEBTCHD_54						0.01145096829959862	0.014964308323993515			0.011938730466449273				
SMGEBTCHD_57				0.010483266700664143										
SMGEBTCHD_59								0.012088026246490649						
SMGEBTCHD_6		0.020040792292949403												
SMGEBTCHD_62										0.010448478570435576				
SMGEBTCHD_65								0.01864679240655179						
SMGEBTCHD_7		0.010033879016051744												
SMGEBTCHD_73		0.010298100831047926												
SMGEBTCHD_75					0.01153808361242941									
SMGEBTCHD_76													0.010302863283892643	
SMGEBTCHD_79		0.010887286292217706												
SMGEBTCHD_84							0.010103999385230699			0.010483735619089093				
SMGEBTCHD_87				0.012433226180604847										
SMGEBTCHD_89											0.011470639639163577		0.022320078042454655	
SMGEBTCHD_93			0.019266153423141856											
SMGEBTCHD_97									0.025603482378512475					
SMGEBTCH_1				0.021300572008157107										
SMGEBTCH_101										0.010448478570435576				
SMGEBTCH_109								0.01864679240655179						
SMGEBTCH_118				0.011574068669842659										
SMGEBTCH_120		0.011928319200099919												
SMGEBTCH_125		0.010298100831047926												
SMGEBTCH_126											0.010513028573623961			
SMGEBTCH_132					0.01153808361242941									
SMGEBTCH_133						0.01540831472967002								
SMGEBTCH_134													0.010302863283892643	
SMGEBTCH_138		0.010887286292217706												
SMGEBTCH_14		0.03986311409879899												
SMGEBTCH_144							0.010103999385230699			0.010483735619089093				
SMGEBTCH_149				0.012433226180604847										
SMGEBTCH_155			0.019197754461011286											
SMGEBTCH_159							0.01596016856526702							
SMGEBTCH_165									0.025603482378512475					
SMGEBTCH_168											0.011470639639163577		0.01974369790087658	
SMGEBTCH_171							0.01630696920215148				0.01108024094615108			
SMGEBTCH_178						0.01145096829959862								
SMGEBTCH_193										0.014646081257319483				
SMGEBTCH_194				0.012429746438910396										
SMGEBTCH_197							0.012725410493877704							
SMGEBTCH_199									0.018765242986963443					
SMGEBTCH_209							0.014056017761642932							
SMGEBTCH_211							0.013948347361704796							
SMGEBTCH_22							0.010837202796137995							
SMGEBTCH_227														0.0101716215559635
SMGEBTCH_235										0.010287981037799158				
SMGEBTCH_247								0.012514263582691051						
SMGEBTCH_25				0.011049695869421205										
SMGEBTCH_28					0.01912164121027198	0.010247351004838494	0.011511787841425427							
SMGEBTCH_3				0.010713680990220742										
SMGEBTCH_304								0.010800159549917844						
SMGEBTCH_305								0.01066008466662201						
SMGEBTCH_308		0.013734799449083979						0.010390478613421397						
SMGEBTCH_312						0.017449118841016624								
SMGEBTCH_316							0.01270453836531432							
SMGEBTCH_319						0.012067404799549175								
SMGEBTCH_33							0.010623925192803276	0.023740638335357663				0.014061232646686312		
SMGEBTCH_332								0.0120551045811486						
SMGEBTCH_336						0.01659702081832842	0.015731261795295153	0.014726861449357656	0.014951342474969131					
SMGEBTCH_34								0.01655737646531523						
SMGEBTCH_341		0.010300301069230869												
SMGEBTCH_343					0.013816442779638557									0.01143914431185769
SMGEBTCH_347									0.011325766378103638					
SMGEBTCH_35							0.011203378450636852							
SMGEBTCH_350					0.010526007766962907			0.010196073258996659						
SMGEBTCH_354					0.014745726494622665	0.011081036263131496								
SMGEBTCH_401		0.015120960338781471												
SMGEBTCH_41			0.012529856397100596		0.010431331926435146			0.017182733584928774						
SMGEBTCH_43							0.010213182953026532							
SMGEBTCH_45							0.016285742423934782							
SMGEBTCH_47								0.011896972581327934						
SMGEBTCH_49											0.010566879448767344		0.013461014081755932	
SMGEBTCH_5		0.013239126408564391			0.011460465670357866									
SMGEBTCH_52					0.010908576491796006									
SMGEBTCH_53					0.010405991133861394									
SMGEBTCH_56								0.014131579144456077						
SMGEBTCH_59						0.0189351575323604								
SMGEBTCH_6											0.01272366461648729			
SMGEBTCH_61							0.022716218975916153							
SMGEBTCH_63		0.010792324629562006												
SMGEBTCH_64						0.014955473757263008		0.0175236538432752						
SMGEBTCH_67				0.030626598801671383										
SMGEBTCH_76	0.030856487803393853		0.017245390885578568	0.0609740813337695									0.03966737400332224	0.013286503140864792
SMGEBTCH_85				0.010483266700664143										
SMGEBTCH_87						0.013239793103200568	0.012694266090222442							
SMGEBTCH_89											0.01132651280250106			
SMGEBTCH_93								0.012088026246490649						
SMGEBTCH_97				0.01220226429461388			0.027063732857445198							
SMGEBTCH_98					0.012319834274860613									
SMGNSDTC	0.03312729749404671	0.018393399951459388	0.05514749898137905	0.06719862326711064	0.03667365816400802	0.013904904611396955	0.03227254303099485	0.012542867629584818	0.016130446898317954		0.040408031492605884	0.0637924765146928	0.08734964026248083	0.10525020955428523
SMMFLGTH			0.014996883298776378	0.0158028899932621	0.02634696894658073	0.018838107367691526	0.011673992821220875		0.056657022869612925	0.018290062226872617	0.015754145927828936			0.012202864762553974
SMMPPD							0.012434642904656372		0.05966010418607819		0.016571849739071533			
SMMPPDPR							0.012159672183562354		0.059955687688016485		0.01657227213537273			
SMMPPDUN							0.012434642904656372		0.05966010418607819		0.016571849739071533			
SMNABTCHD_100					0.020096643986431437									
SMNABTCHD_101								0.011102443985704594						
SMNABTCHD_111		0.039662922085381254					0.011068547166574079							
SMNABTCHD_112					0.011138770905100072									
SMNABTCHD_113								0.012453744656830168						
SMNABTCHD_115										0.011731730357439246				
SMNABTCHD_131													0.01066231074029458	
SMNABTCHD_132											0.017210517947802016			
SMNABTCHD_142									0.013908097009868524					
SMNABTCHD_144			0.019197754461011286											
SMNABTCHD_147							0.014670440299602064							
SMNABTCHD_148					0.011748972816388682									
SMNABTCHD_149					0.01609067630188736									
SMNABTCHD_17					0.01210360742932788									
SMNABTCHD_170						0.01145096829959862								
