TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	1298	0.12865947611710324	1.198882745285619	0.015984015984015984
ac	1539	0.1267056530214425	1.180676509200869	0.023976023976023976
ag	184	0.09239130434782608	0.8609264077542458	0.939060939060939
as	586	0.12798634812286688	1.1926103620767508	0.02097902097902098
at	391	0.1432225063938619	1.3345848812245749	0.000999000999000999
av	463	0.11879049676025918	1.1069210070477662	0.12187812187812187
bam	1182	0.12351945854483926	1.1509867133427918	0.04795204795204795
ban	954	0.09014675052410902	0.8400110664880495	0.968031968031968
bca	19	0.10526315789473684	0.9808697153361067	0.5764235764235764
bce	40	0.1	0.9318262295693014	0.7922077922077922
bceh	128	0.109375	1.0191849385914233	0.4125874125874126
bco	64	0.125	1.1647827869616267	0.03796203796203796
bfr	32	0.1875	1.74717418044244	0.000999000999000999
bhi	51	0.21568627450980393	2.0098212794631993	0.000999000999000999
bhy	83	0.12048192771084337	1.122682204300363	0.08391608391608392
bnu	379	0.13192612137203166	1.2293222025980228	0.004995004995004995
bpu	10	0.0	0	1.0
br	505	0.1306930693069307	1.2178323000311662	0.00999000999000999
bsp	61	0.14754098360655737	1.3748255846104447	0.000999000999000999
bsu	28	0.0	0	1.0
cols	75	0.09333333333333334	0.869704480931348	0.922077922077922
colt	1174	0.13713798977853492	1.2778877594604559	0.000999000999000999
ebv	297	0.10101010101010101	0.941238615726567	0.7252747252747253
esog	17	0.0	0	1.0
esom	9	0.0	0	1.0
esomu	20	0.05	0.4659131147846507	1.0
fib	209	0.12440191387559808	1.1592096635790352	0.03796203796203796
hlv	247	0.13360323886639677	1.2449500233112125	0.001998001998001998
kc	14	0.07142857142857142	0.6655901639780724	1.0
liv	37	0.1891891891891892	1.762914488374354	0.000999000999000999
lu	477	0.12368972746331237	1.1525733237859284	0.04795204795204795
ms	2253	0.12294718153573014	1.1456540860661184	0.053946053946053944
msg	3	0.0	0	1.0
nt	720	0.12777777777777777	1.1906668488941072	0.02097902097902098
ov	80	0.15	1.397739344353952	0.000999000999000999
pit	10	0.2	1.8636524591386028	0.000999000999000999
pro	886	0.12415349887133183	1.1568948674110966	0.03796203796203796
si	82	0.18292682926829268	1.7045601760414049	0.000999000999000999
snse	725	0.12	1.1181914754831617	0.1008991008991009
spl	7	0.2857142857142857	2.6623606559122894	0.000999000999000999
sse	400	0.1175	1.0948958197439291	0.14985014985014986
sto	252	0.12301587301587301	1.146294171295569	0.04795204795204795
tes	1286	0.12986003110419908	1.2100698315557803	0.013986013986013986
thy	998	0.1312625250501002	1.2231386380118083	0.004995004995004995
ut	1683	0.1437908496732026	1.339880852975466	0.000999000999000999
