TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	5760	0.12708333333333333	1.184195833410987	0.02097902097902098
ac	7551	0.13428684942391736	1.2513200857942943	0.000999000999000999
ag	822	0.10462287104622871	0.9749033545372252	0.6173826173826173
as	2011	0.08751864743908504	0.815521712601676	0.987012987012987
at	1463	0.15857826384142173	1.477673856869979	0.000999000999000999
av	1664	0.12379807692307693	1.153582952471611	0.04795204795204795
bam	4780	0.12280334728033473	1.1443138007472384	0.053946053946053944
ban	3890	0.09305912596401028	0.8671493447405838	0.922077922077922
bca	27	0.1111111111111111	1.0353624772992236	0.33466533466533466
bce	96	0.07291666666666667	0.6794566257276157	1.0
bceh	270	0.13703703703703704	1.2769470553357094	0.000999000999000999
bco	113	0.11504424778761062	1.0720124764956565	0.1968031968031968
bfr	58	0.1206896551724138	1.1246178632732948	0.08391608391608392
bhi	170	0.17058823529411765	1.5895859210299847	0.000999000999000999
bhy	325	0.055384615384615386	0.5160883732999207	1.0
bnu	1451	0.1474844934527912	1.3742991945405272	0.000999000999000999
bpu	14	0.0	0	1.0
br	1764	0.14965986394557823	1.394569867382628	0.000999000999000999
bsp	186	0.25806451612903225	2.404712850501423	0.000999000999000999
bsu	202	0.0	0	1.0
cols	320	0.053125	0.49503268445869136	1.0
colt	5282	0.1344187807648618	1.252549456634237	0.000999000999000999
ebv	1241	0.08702659145850121	0.8109366059104315	0.987012987012987
esog	71	0.0	0	1.0
esom	343	0.0	0	1.0
esomu	68	0.014705882352941176	0.13703326905430901	1.0
fib	767	0.07040417209908735	0.6560445423304078	1.0
hlv	953	0.09758656873032528	0.9093372439658449	0.8391608391608392
kc	39	0.02564102564102564	0.23892980245366702	1.0
liv	189	0.32275132275132273	3.007481481678697	0.000999000999000999
lu	1975	0.13265822784810127	1.236144162770415	0.003996003996003996
ms	11347	0.11985546840574601	1.1168446921778883	0.1008991008991009
msg	17	0.0	0	1.0
nt	2457	0.10256410256410256	0.9557192098146681	0.6883116883116883
ov	321	0.11838006230529595	1.103096471141229	0.12187812187812187
pit	39	0.05128205128205128	0.47785960490733403	1.0
pro	4193	0.11399952301454806	1.0622774570334512	0.2627372627372627
si	286	0.12937062937062938	1.205509457834411	0.013986013986013986
snse	3010	0.12691029900332226	1.1825834541377844	0.023976023976023976
spl	9	0.4444444444444444	4.141449909196894	0.000999000999000999
sse	1548	0.13565891472868216	1.2641053501909125	0.000999000999000999
sto	905	0.13149171270718232	1.225274268715435	0.004995004995004995
tes	5452	0.10840058694057227	1.010105102119327	0.45854145854145856
thy	4097	0.13473273126678056	1.2554749297589805	0.000999000999000999
ut	8563	0.13651757561602243	1.2721065775622018	0.000999000999000999
