TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	368	0.18478260869565216	1.3364016681142021	0.000999000999000999
ac	431	0.1716937354988399	1.241739123313974	0.003996003996003996
ag	2444	0.1681669394435352	1.216232306602826	0.003996003996003996
as	85	0.25882352941176473	1.8718871808049449	0.000999000999000999
at	46	0.2391304347826087	1.729460982265438	0.000999000999000999
av	1062	0.16195856873822975	1.1713315606646246	0.01998001998001998
bam	225	0.18222222222222223	1.3178842070919663	0.000999000999000999
ban	183	0.16393442622950818	1.1856215377676624	0.011988011988011988
bce	1	0.0	0	1.0
bceh	6	0.0	0	1.0
bfr	1	0.0	0	1.0
bhi	3	0.0	0	1.0
bhy	41	0.12195121951219512	0.8819867537052123	0.936063936063936
bnu	56	0.16071428571428573	1.1623325432757978	0.024975024975024976
bpu	1	0.0	0	1.0
br	86	0.16279069767441862	1.1773497595971905	0.015984015984015984
bsp	1	0.0	0	1.0
cols	19	0.15789473684210525	1.141940744270959	0.03596403596403597
colt	2171	0.15246430216490098	1.1026662583632831	0.0959040959040959
ebv	44	0.13636363636363635	0.9862215518703737	0.5514485514485514
esom	2	0.5	3.6161456901913707	0.000999000999000999
fib	29	0.13793103448275862	0.9975574317769298	0.5164835164835165
haa	24	0.25	1.8080728450956853	0.000999000999000999
hlv	32	0.15625	1.1300455281848032	0.04395604395604396
liv	525	0.15047619047619049	1.088287655333784	0.13386613386613386
lu	96	0.17708333333333334	1.2807182652761104	0.002997002997002997
ms	659	0.16843702579666162	1.2181856498065011	0.003996003996003996
msg	66	0.13636363636363635	0.9862215518703737	0.5514485514485514
nt	159	0.16352201257861634	1.1826388420751652	0.011988011988011988
ov	14	0.07142857142857142	0.5165922414559101	1.0
pan	25	0.04	0.28929165521530964	1.0
pit	74	0.12162162162162163	0.8796030057222253	0.936063936063936
pro	1635	0.1602446483180428	1.1589359887830446	0.024975024975024976
si	2855	0.17583187390542906	1.2716673460427796	0.002997002997002997
snse	159	0.23270440251572327	1.6829860444915812	0.000999000999000999
spl	1557	0.17726396917148363	1.282024676291353	0.002997002997002997
sse	74	0.16216216216216217	1.1728040076296338	0.015984015984015984
sto	31	0.3225806451612903	2.3329972194783033	0.000999000999000999
tes	320	0.18125	1.3108528126943717	0.000999000999000999
thy	226	0.17256637168141592	1.2480502824554287	0.003996003996003996
ut	512	0.1640625	1.1865478045940434	0.00999000999000999
va	9	0.2222222222222222	1.6071758623072756	0.000999000999000999
wb	2069	0.17448042532624455	1.261893276132513	0.002997002997002997
