TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	5760	0.146875	1.0622427964937151	0.22277722277722278
ac	7551	0.14435174149119323	1.0439938557299946	0.27372627372627373
ag	822	0.18004866180048662	1.3021643847891067	0.000999000999000999
as	2011	0.16210840377921432	1.1724152113400166	0.015984015984015984
at	1463	0.16541353383458646	1.1963188749505285	0.008991008991008992
av	1664	0.16346153846153846	1.1822014756394865	0.011988011988011988
bam	4780	0.14267782426778242	1.0318875986236462	0.34265734265734266
ban	3890	0.15038560411311053	1.0876325083609006	0.13386613386613386
bca	27	0.2222222222222222	1.6071758623072756	0.000999000999000999
bce	96	0.16666666666666666	1.2053818967304568	0.007992007992007992
bceh	270	0.1111111111111111	0.8035879311536378	0.994005994005994
bco	113	0.17699115044247787	1.2800515717491576	0.002997002997002997
bfr	58	0.08620689655172414	0.6234733948605812	1.0
bhi	170	0.19411764705882353	1.4039153856037085	0.000999000999000999
bhy	325	0.19692307692307692	1.4242050718292167	0.000999000999000999
bnu	1451	0.1543762922122674	1.1164943275022288	0.060939060939060936
bpu	14	0.14285714285714285	1.0331844829118202	0.34265734265734266
br	1764	0.16950113378684808	1.2258815888517232	0.003996003996003996
bsp	186	0.13440860215053763	0.9720821747826265	0.6153846153846154
bsu	202	0.10891089108910891	0.7876752988535659	0.997002997002997
cols	320	0.16875	1.2204491704395877	0.003996003996003996
colt	5282	0.13574403634986748	0.9817404240315081	0.5884115884115884
ebv	1241	0.16116035455278002	1.1655586430914975	0.01998001998001998
esog	71	0.18309859154929578	1.324222365422192	0.000999000999000999
esom	343	0.11370262390670553	0.822330506807367	0.988011988011988
esomu	68	0.04411764705882353	0.3190716785462974	1.0
fib	767	0.16166883963494133	1.1692361553682658	0.01998001998001998
hlv	953	0.11542497376705142	0.83478704285635	0.983016983016983
kc	39	0.07692307692307693	0.5563301061832878	1.0
liv	189	0.20105820105820105	1.4541114944684876	0.000999000999000999
lu	1975	0.15645569620253164	1.1315331830573503	0.04395604395604396
ms	11347	0.1474398519432449	1.0663279703340376	0.19880119880119881
msg	17	0.11764705882352941	0.850857809456793	0.971028971028971
nt	2457	0.14814814814814814	1.071450574871517	0.17282717282717283
ov	321	0.14330218068535824	1.0364031261607665	0.3116883116883117
pit	39	0.0	0	1.0
pro	4193	0.14404960648700216	1.0418087273434715	0.27372627372627373
si	286	0.13986013986013987	1.0115092839696143	0.4565434565434565
snse	3010	0.1451827242524917	1.0500037651917802	0.24275724275724275
spl	9	0.0	0	1.0
sse	1548	0.1640826873385013	1.1866938053082792	0.00999000999000999
sto	905	0.16022099447513813	1.1587649172988923	0.024975024975024976
tes	5452	0.14068231841526047	1.0174555188469485	0.4155844155844156
thy	4097	0.14449597266292408	1.045036977590086	0.27372627372627373
ut	8563	0.1469111292771225	1.0625040939532275	0.22277722277722278
