TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	366	0.18579234972677597	1.3437044094700175	0.000999000999000999
ac	428	0.1658878504672897	1.1997492710448003	0.008991008991008992
ag	11	0.36363636363636365	2.629924138320997	0.000999000999000999
as	85	0.25882352941176473	1.8718871808049449	0.000999000999000999
at	46	0.2391304347826087	1.729460982265438	0.000999000999000999
av	70	0.18571428571428572	1.3431398277853663	0.000999000999000999
bam	223	0.18385650224215247	1.3297037963932394	0.000999000999000999
ban	180	0.16111111111111112	1.165202500172775	0.01998001998001998
bce	1	0.0	0	1.0
bceh	6	0.0	0	1.0
bfr	1	0.0	0	1.0
bhi	3	0.0	0	1.0
bhy	8	0.25	1.8080728450956853	0.000999000999000999
bnu	56	0.16071428571428573	1.1623325432757978	0.024975024975024976
br	84	0.16666666666666666	1.2053818967304568	0.007992007992007992
bsp	1	0.0	0	1.0
cols	13	0.23076923076923078	1.6689903185498633	0.000999000999000999
colt	247	0.1214574898785425	0.878415957131507	0.936063936063936
ebv	43	0.13953488372093023	1.0091569367975917	0.4565434565434565
esom	2	0.5	3.6161456901913707	0.000999000999000999
fib	29	0.13793103448275862	0.9975574317769298	0.5164835164835165
hlv	32	0.15625	1.1300455281848032	0.04395604395604396
liv	1	0.0	0	1.0
lu	96	0.17708333333333334	1.2807182652761104	0.002997002997002997
ms	664	0.16716867469879518	1.2090125650941028	0.005994005994005994
nt	159	0.16352201257861634	1.1826388420751652	0.011988011988011988
ov	6	0.0	0	1.0
pro	224	0.1875	1.356054633821764	0.000999000999000999
si	5	0.0	0	1.0
snse	159	0.23270440251572327	1.6829860444915812	0.000999000999000999
sse	74	0.16216216216216217	1.1728040076296338	0.015984015984015984
sto	31	0.3225806451612903	2.3329972194783033	0.000999000999000999
tes	314	0.18471337579617833	1.3359009556120987	0.000999000999000999
thy	226	0.17256637168141592	1.2480502824554287	0.003996003996003996
ut	496	0.16532258064516128	1.1956610749826306	0.008991008991008992
