TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	1298	0.18181818181818182	1.3149620691604984	0.000999000999000999
ac	1539	0.16894087069525665	1.22182960292366	0.003996003996003996
ag	184	0.18478260869565216	1.3364016681142021	0.000999000999000999
as	586	0.17747440273037543	1.2835465931054695	0.002997002997002997
at	391	0.16624040920716113	1.202299078580251	0.007992007992007992
av	463	0.16414686825053995	1.1871579803652015	0.00999000999000999
bam	1182	0.1751269035532995	1.2665687950416475	0.002997002997002997
ban	954	0.15932914046121593	1.152314769201443	0.025974025974025976
bca	19	0.15789473684210525	1.141940744270959	0.03596403596403597
bce	40	0.15	1.084843707057411	0.15284715284715283
bceh	128	0.1171875	0.8475341461386025	0.971028971028971
bco	64	0.140625	1.017040975366323	0.4155844155844156
bfr	32	0.0625	0.45201821127392133	1.0
bhi	51	0.1568627450980392	1.1344770792757242	0.04395604395604396
bhy	83	0.1566265060240964	1.1327685294575378	0.04395604395604396
bnu	379	0.1820580474934037	1.3166968476158554	0.000999000999000999
bpu	10	0.1	0.7232291380382742	1.0
br	505	0.17425742574257425	1.2602804781657053	0.002997002997002997
bsp	61	0.13114754098360656	0.94849723021413	0.7202797202797203
bsu	28	0.07142857142857142	0.5165922414559101	1.0
cols	75	0.2	1.4464582760765483	0.000999000999000999
colt	1174	0.14395229982964225	1.0411049772441936	0.3116883116883117
ebv	297	0.1717171717171717	1.241908620873804	0.003996003996003996
esog	17	0.23529411764705882	1.701715618913586	0.000999000999000999
esom	9	0.3333333333333333	2.4107637934609136	0.000999000999000999
esomu	20	0.0	0	1.0
fib	209	0.16267942583732056	1.176545009248867	0.015984015984015984
hlv	247	0.15789473684210525	1.141940744270959	0.03596403596403597
kc	14	0.21428571428571427	1.54977672436773	0.000999000999000999
liv	37	0.08108108108108109	0.5864020038148169	1.0
lu	477	0.18448637316561844	1.3342592064437762	0.000999000999000999
ms	2253	0.17665335108743896	1.277608508385411	0.002997002997002997
msg	3	0.3333333333333333	2.4107637934609136	0.000999000999000999
nt	720	0.15138888888888888	1.0948885561968316	0.1068931068931069
ov	80	0.225	1.6272655605861168	0.000999000999000999
pit	10	0.0	0	1.0
pro	886	0.16930022573363432	1.2244285632702159	0.003996003996003996
si	82	0.18292682926829268	1.3229801305578184	0.000999000999000999
snse	725	0.1724137931034483	1.2469467897211624	0.003996003996003996
spl	7	0.0	0	1.0
sse	400	0.175	1.2656509915669796	0.002997002997002997
sto	252	0.17857142857142858	1.2914806036397752	0.001998001998001998
tes	1286	0.1671850699844479	1.2091311405772078	0.005994005994005994
thy	998	0.1653306613226453	1.1957195167967458	0.008991008991008992
ut	1683	0.1865715983363042	1.349340162471884	0.000999000999000999
