TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	5777	0.14730829150077895	1.0653764868799918	0.19880119880119881
ac	7600	0.14460526315789474	1.04582739829482	0.27372627372627373
ag	32131	0.14210575456724037	1.0277502238594378	0.34265734265734266
as	2021	0.16229589312221673	1.1737711888993267	0.015984015984015984
at	1463	0.16541353383458646	1.1963188749505285	0.008991008991008992
av	16356	0.1395818048422597	1.0094962840189408	0.4565434565434565
bam	4899	0.14186568687487242	1.0260139843572167	0.3786213786213786
ban	3907	0.15075505502943434	1.0903044850385037	0.13386613386613386
bca	29	0.20689655172413793	1.4963361476653947	0.000999000999000999
bce	99	0.16161616161616163	1.1688551725871097	0.01998001998001998
bceh	271	0.11070110701107011	0.8006226620349898	0.995004995004995
bco	115	0.17391304347826086	1.257789805283955	0.002997002997002997
bfr	63	0.07936507936507936	0.5739913793954556	1.0
bhi	171	0.19298245614035087	1.39570535410895	0.000999000999000999
bhy	967	0.16339193381592554	1.1816980745609855	0.011988011988011988
bnu	1461	0.1540041067761807	1.113802573980915	0.060939060939060936
bpu	57	0.17543859649122806	1.2688230491899546	0.002997002997002997
br	1792	0.17020089285714285	1.2309424503441606	0.003996003996003996
bsp	188	0.13297872340425532	0.9617408750508964	0.6833166833166833
bsu	279	0.10752688172043011	0.7776657398261012	0.997002997002997
cols	463	0.1511879049676026	1.0934349819153173	0.1068931068931069
colt	30588	0.13913953184255262	1.0062976368153833	0.4565434565434565
ebv	1259	0.1596505162827641	1.1546390527854893	0.025974025974025976
esog	72	0.18055555555555555	1.3058303881246616	0.000999000999000999
esom	342	0.11403508771929824	0.8247349819734704	0.983016983016983
esomu	68	0.04411764705882353	0.3190716785462974	1.0
fib	768	0.16145833333333334	1.1677137124576302	0.01998001998001998
haa	655	0.15572519083969466	1.1262499554183811	0.05094905094905095
hlv	953	0.11542497376705142	0.83478704285635	0.983016983016983
kc	39	0.07692307692307693	0.5563301061832878	1.0
liv	9553	0.1417355804459332	1.0250730167526674	0.3786213786213786
lu	1979	0.15664477008590197	1.132900620474305	0.04395604395604396
ms	11227	0.14732341676316024	1.065485877184738	0.19880119880119881
msg	1763	0.11798071469086784	0.8532709059101589	0.971028971028971
nt	2459	0.14802765351769012	1.0705791225942731	0.17282717282717283
ov	516	0.13178294573643412	0.953092662531059	0.7202797202797203
pan	784	0.13903061224489796	1.0055098985481108	0.4565434565434565
pit	2089	0.1469602680708473	1.062859480027526	0.22277722277722278
pro	20796	0.13757453356414695	0.9949791132561561	0.5164835164835165
si	35668	0.14455534372546822	1.045466366413968	0.27372627372627373
snse	3010	0.1451827242524917	1.0500037651917802	0.24275724275724275
spl	19876	0.14021936003219965	1.0141072689236617	0.4155844155844156
sse	1545	0.16375404530744336	1.1843169703798275	0.011988011988011988
sto	902	0.15964523281596452	1.154600841214096	0.025974025974025976
tes	5523	0.14014122759369907	1.0135421923621657	0.4155844155844156
thy	4108	0.1450827653359299	1.0492808331811376	0.24275724275724275
ut	8671	0.1460039211163649	1.0559429001919676	0.22277722277722278
va	326	0.12269938650306748	0.8873977153843854	0.916083916083916
wb	31546	0.1365941799277246	0.9878889101017319	0.5514485514485514
